TITLE,eeg,spike
The sleep and wake electroencephalogram over the lifespan.,1,0
Quantitative epileptiform burden and electroencephalography background features predict post-traumatic epilepsy.,0,0
Flexible realistic simulation of seizure occurrence recapitulating statistical properties of seizure diaries.,0,0
Impact of the COVID-19 Pandemic on Continuous EEG Utilization.,0,0
MOLER: Incorporate Molecule-Level Reward to Enhance Deep Generative Model for Molecule Optimization.,0,0
Automated EEG-based prediction of delayed cerebral ischemia after subarachnoid hemorrhage.,0,0
How Machine Learning is Powering Neuroimaging to Improve Brain Health.,0,0
Artificial intelligence foundation for therapeutic science.,0,0
"A replicable, open-source, data integration method to support national practice-based research & quality improvement systems.",0,0
Competency-based EEG education: a list of must-know EEG findings for adult and child neurology residents.,0,0
EEG reading with or without clinical information - a real-world practice study.,0,0
High epileptiform discharge burden predicts delayed cerebral ischemia after subarachnoid hemorrhage.,0,0
Sleep apnea and respiratory anomaly detection from a wearable band and oxygen saturation.,0,0
High prevalence of sleep-disordered breathing in the intensive care unit - a cross-sectional study.,0,0
Hospital complications among older adults: Better processes could reduce the risk of delirium.,0,0
High incidence of epileptiform activity in adults undergoing extracorporeal membrane oxygenation.,0,0
Preoperative Plasma Tau-PT217 and Tau-PT181 Are Associated With Postoperative Delirium.,0,0
Automated Scoring of Respiratory Events in Sleep With a Single Effort Belt and Deep Neural Networks.,0,0
Noninvasive Detection of Hippocampal Epileptiform Activity on Scalp Electroencephalogram.,0,0
Predicting Neurological Outcome From Electroencephalogram Dynamics in Comatose Patients After Cardiac Arrest With Deep Learning.,0,0
Accurate identification of EEG recordings with interictal epileptiform discharges using a hybrid approach: Artificial intelligence supervised by human experts.,0,0
A machine learning approach to predict progression on active surveillance for prostate cancer.,0,0
Quantifying seizure termination patterns reveals limited pathways to seizure end.,0,0
Severe cerebral edema in substance-related cardiac arrest patients.,0,0
A Primer on EEG Spectrograms.,0,0
The Utility of Quantitative EEG in Detecting Delayed Cerebral Ischemia After Aneurysmal Subarachnoid Hemorrhage.,0,0
Decoding the Spectrogram Rainbow.,0,0
CHEER: Rich Model Helps Poor Model via Knowledge Infusion.,0,0
Systematic Evaluation of Research Priorities in Critical Care Electroencephalography.,0,0
Physiological Assessment of Delirium Severity: The Electroencephalographic Confusion Assessment Method Severity Score (E-CAM-S).,0,0
"One EEG, one read - A manifesto towards reducing interrater variability among experts.",0,0
ICU delirium burden predicts functional neurologic outcomes.,0,0
Predicting neurological outcome in comatose patients after cardiac arrest with multiscale deep neural networks.,0,0
"Electroencephalography, Hospital Complications, and Longitudinal Outcomes After Subarachnoid Hemorrhage.",0,0
Prediction of operative mortality for patients undergoing cardiac surgical procedures without established risk scores.,0,0
Do Triphasic Waves and Nonconvulsive Status Epilepticus Arise From Similar Mechanisms? A Computational Model.,0,0
HIV increases sleep-based brain age despite antiretroviral therapy.,0,0
Time-Frequency Decomposition of Scalp Electroencephalograms Improves Deep Learning-Based Epilepsy Diagnosis.,0,0
Automated Annotation of Epileptiform Burden and Its Association with Outcomes.,0,0
A model of metabolic supply-demand mismatch leading to secondary brain injury.,0,0
Anticonvulsant Primary and Secondary Prophylaxis for Acute Ischemic Stroke Patients: A Decision Analysis.,0,0
Postoperative delirium mediates 180-day mortality in orthopaedic trauma patients.,0,0
Clinical Electroencephalography Findings and Considerations in Hospitalized Patients With Coronavirus SARS-CoV-2.,0,0
Computational Evidence for a Competitive Thalamocortical Model of Spikes and Spindle Activity in Rolandic Epilepsy.,0,0
Development and Prospective Validation of a Deep Learning Algorithm for Predicting Need for Mechanical Ventilation.,0,0
Responsive neurostimulation for focal motor status epilepticus.,0,0
Global Incidence of Neurological Manifestations Among Patients Hospitalized With COVID-19-A Report for the GCS-NeuroCOVID Consortium and the ENERGY Consortium.,0,0
Electroencephalographic Abnormalities are Common in COVID-19 and are Associated with Outcomes.,0,0
Automated Adult Epilepsy Diagnostic Tool Based on Interictal Scalp Electroencephalogram Characteristics: A Six-Center Study.,0,0
Algorithm for automatic detection of self-similarity and prediction of residual central respiratory events during continuous positive airway pressure.,0,0
Prolonged Intubation in Patients With Prior Cerebrovascular Disease and COVID-19.,0,0
Generalized periodic discharges with triphasic morphology: to treat or not to treat?.,0,0
Continuous EEG Findings in Autoimmune Encephalitis.,0,0
Deep active learning for Interictal Ictal Injury Continuum EEG patterns.,0,0
"DDESVSFS: A simple, rapid and comprehensive screening tool for the Differential Diagnosis of Epileptic Seizures VS Functional Seizures.",0,0
Assessment of a Study of Continuous vs Repeat-Spot Electroencephalography in Patients With Critical Illness.,0,0
Cortical responses to noninvasive perturbations enable individual brain fingerprinting.,0,0
Focal Sleep Spindle Deficits Reveal Focal Thalamocortical Dysfunction and Predict Cognitive Deficits in Sleep Activated Developmental Epilepsy.,0,0
Susceptibility-weighted imaging reveals cerebral microvascular injury in severe COVID-19.,0,0
Classification of the Disposition of Patients Hospitalized with COVID-19: Reading Discharge Summaries Using Natural Language Processing.,0,0
CoVA: An Acuity Score for Outpatient Screening that Predicts Coronavirus Disease 2019 Prognosis.,0,0
Night-to-night variability of sleep electroencephalography-based brain age measurements.,0,0
Rapid annotation of seizures and interictal-ictal-injury continuum EEG patterns.,0,0
American Clinical Neurophysiology Society's Standardized Critical Care EEG Terminology: 2021 Version.,0,0
Expert-level automated sleep staging of long-term scalp electroencephalography recordings using deep learning.,0,0
Automated Detection of Interictal Epileptiform Discharges from Scalp Electroencephalograms by Convolutional Neural Networks.,0,0
Persistent abnormalities in Rolandic thalamocortical white matter circuits in childhood epilepsy with centrotemporal spikes.,0,0
Association of epileptiform abnormalities and seizures in Alzheimer disease.,0,0
Diagnostic Value of Electroencephalography with Ten Electrodes in Critically Ill Patients.,0,0
Burst Suppression: Causes and Effects on Mortality in Critical Illness.,0,0
A Theoretical Paradigm for Evaluating Risk-Benefit of Status Epilepticus Treatment.,0,0
Evaluating the Clinical Impact of Rapid Response Electroencephalography: The DECIDE Multicenter Prospective Observational Clinical Study.,0,0
Development and Validation of Forecasting Next Reported Seizure Using e-Diaries.,0,0
Association of Sleep Electroencephalography-Based Brain Age Index With Dementia.,0,0
Association of Red Blood Cell Distribution Width With Mortality Risk in Hospitalized Adults With SARS-CoV-2 Infection.,0,0
Improved tracking of sevoflurane anesthetic states with drug-specific machine learning models.,0,0
Cost-effectiveness analysis of multimodal prognostication in cardiac arrest with EEG monitoring.,0,0
Electroencephalogram Burst-suppression during Cardiopulmonary Bypass in Elderly Patients Mediates Postoperative Delirium.,0,0
A New Neural Mass Model Driven Method and Its Application in Early Epileptic Seizure Detection.,0,0
MRI-EEG correlation for outcome prediction in postanoxic myoclonus: A multicenter study.,0,0
Detecting Seizures and Epileptiform Abnormalities in Acute Brain Injury.,0,0
Cerebral Microvascular Injury in Severe COVID-19.,0,0
Clinical Electroencephalography Findings and Considerations in Hospitalized Patients with Coronavirus SARS-CoV-2.,0,0
Sleep staging from electrocardiography and respiration with deep learning.,0,0
Deep Learning for Interictal Epileptiform Spike Detection from scalp EEG frequency sub bands.,0,0
COVID-19 Outpatient Screening: a Prediction Score for Adverse Events.,0,0
Innate immune signaling in the olfactory epithelium reduces odorant receptor levels: modeling transient smell loss in COVID-19 patients.,0,0
Adaptive Sedation Monitoring From EEG in ICU Patients With Online Learning.,0,0
Burden of Epileptiform Activity Predicts Discharge Neurologic Outcomes in Severe Acute Ischemic Stroke.,0,0
Reactivation of Motor-Related Gamma Activity in Human NREM Sleep.,0,0
Artificial intelligence in sleep medicine: background and implications for clinicians.,0,0
Artificial intelligence in sleep medicine: an American Academy of Sleep Medicine position statement.,0,0
Excess brain age in the sleep electroencephalogram predicts reduced life expectancy.,0,0
Sensitivity of Continuous Electroencephalography to Detect Ictal Activity After Cardiac Arrest.,0,0
Electrographic predictors of successful weaning from anaesthetics in refractory status epilepticus.,0,0
Soluble ST2 Is Associated With New Epileptiform Abnormalities Following Nontraumatic Subarachnoid Hemorrhage.,0,0
Assessment of the Validity of the 2HELPS2B Score for Inpatient Seizure Risk Prediction.,0,0
EEG Functional Connectivity is a Weak Predictor of Causal Brain Interactions.,0,0
Early Prediction of Sepsis From Clinical Data: The PhysioNet/Computing in Cardiology Challenge 2019.,0,0
Effects of Cholinergic Neuromodulation on Thalamocortical Rhythms During NREM Sleep: A Model Study.,0,0
Seizure tracking of epileptic EEGs using a model-driven approach.,0,0
Detection of mesial temporal lobe epileptiform discharges on intracranial electrodes using deep learning.,0,0
Interrater Reliability of Experts in Identifying Interictal Epileptiform Discharges in Electroencephalograms.,0,0
Development of Expert-Level Automated Detection of Epileptiform Discharges During Electroencephalogram Interpretation.,0,0
A novel neural computational model of generalized periodic discharges in acute hepatic encephalopathy.,0,0
The probability of seizures during continuous EEG monitoring in high-risk neonates.,0,0
Quantitative EEG reactivity and machine learning for prognostication in hypoxic-ischemic brain injury.,0,0
A fast machine learning approach to facilitate the detection of interictal epileptiform discharges in the scalp electroencephalogram.,0,0
Clinical EEG slowing correlates with delirium severity and predicts poor clinical outcomes.,0,0
Automated tracking of level of consciousness and delirium in critical illness using deep learning.,0,0
Drug-Specific Models Improve the Performance of an EEG-based Automated Brain-State Prediction System.,0,0
Automatic Detection of General Anesthetic-States using ECG-Derived Autonomic Nervous System Features.,0,0
Comparison of machine learning models for seizure prediction in hospitalized patients.,0,0
The EEG Ictal-Interictal Continuum-A Metabolic Roar But a Whimper of a Functional Outcome.,0,0
Resident training and interrater agreements using the ACNS critical care EEG terminology.,0,0
Lateralized periodic discharges frequency correlates with glucose metabolism.,0,0
Brain age from the electroencephalogram of sleep.,0,0
Detecting abnormal electroencephalograms using deep convolutional networks.,0,0
